"模型","多轮总分","首轮总分","总轮数","最终不可用","测试成本(元)","平均耗时(秒)","Token","价格(元/百万)","发布时间","Think"
"GPT-5 Mini(high)","93.00","71.64","45","0","¥10.65","230","16436","¥14.4","25-08-07","1"
"Claude Sonnet 4.5(Think)","81.67","63.83","61","0","¥26.83","47","4073","¥108.0","25-09-29","1"
"Claude Sonnet 4.5","75.25","58.36","61","1","¥17.44","30","2647","¥108.0","25-09-29","0"
"Gemini 2.5 pro","74.36","48.46","70","1","¥32.28","61","6404","¥72.0","25-06-05","1"
"Gemini 2.5 flash 0925(Think)","69.60","63.15","67","3","¥17.00","55","14099","¥18.0","25-09-25","1"
"DeepSeek V3.2(Think)","68.00","50.33","69","2","¥1.22","235","5884","¥3.0","25-08-19","1"
"GLM-4.6(Think)","66.81","41.81","70","3","¥5.73","176","10236","¥8.0","25-09-30","1"
"DeepSeek V3.2","65.28","52.95","64","2","¥0.45","89","2333","¥3.0","25-08-19","0"
"Qwen3-Max","63.95","39.22","69","3","¥4.11","51","2479","¥24.0","25-09-24","0"
"Gemini 2.5 flash 0925","63.75","43.17","73","4","¥6.31","18","4800","¥18.0","25-09-25","0"
"Grok Code Fast 1(Think)","62.91","28.78","75","2","¥3.58","24","4421","¥10.8","25-08-27","1"
"Doubao-Seed-1.6-thinking-0715","58.17","39.21","72","5","¥7.69","280","13346","¥8.0","25-06-11","1"
"Qwen3-Coder-plus 0923","54.67","39.72","70","5","¥2.70","22","2412","¥16.0","25-09-23","0"
"kimi-k2-0905-preview","53.80","46.05","71","6","¥2.21","129","1944","¥16.0","25-09-05","0"
"Doubao-Seed-1.6(Think)","53.56","35.50","71","6","¥7.81","230","13749","¥8.0","25-06-11","1"
"Qwen3-Coder-480B-A35B","52.22","43.11","71","8","¥3.02","30","2661","¥16.0","25-07-22","0"
"Claude Haiku 4.5","51.44","29.08","76","5","¥7.74","15","2830","¥36.0","25-10-16","0"
"Ling-1T","50.06","36.64","73","6","¥4.99","145","4273","¥16.0","25-10-09","0"
"GLM-4.6","48.81","34.69","77","5","¥1.35","45","2199","¥8.0","25-09-30","0"
"KAT-Coder","45.39","26.86","80","8","¥3.22","32","2517","¥16.0","25-09-26","0"
"Doubao-Seed-1.6","40.59","28.61","75","9","¥1.48","37","2463","¥8.0","25-06-11","0"
